,People,Age,Ethnicities,Wait Time,State
0,355,All Ages,White alone,All Time,West_Virginia
1,30,All Ages,White alone,< 30 Days,West_Virginia
2,38,All Ages,White alone,30 to < 90 Days,West_Virginia
3,53,All Ages,White alone,90 Days to < 6 Months,West_Virginia
4,74,All Ages,White alone,6 Months to < 1 Year,West_Virginia
5,62,All Ages,White alone,1 Year to < 2 Years,West_Virginia
6,38,All Ages,White alone,2 Years to < 3 Years,West_Virginia
7,38,All Ages,White alone,3 Years to < 5 Years,West_Virginia
8,22,All Ages,White alone,5 or More Years,West_Virginia
9,44,All Ages,Black or African American alone,All Time,West_Virginia
10,1,All Ages,Black or African American alone,< 30 Days,West_Virginia
11,8,All Ages,Black or African American alone,30 to < 90 Days,West_Virginia
12,6,All Ages,Black or African American alone,90 Days to < 6 Months,West_Virginia
13,8,All Ages,Black or African American alone,6 Months to < 1 Year,West_Virginia
14,7,All Ages,Black or African American alone,1 Year to < 2 Years,West_Virginia
15,2,All Ages,Black or African American alone,2 Years to < 3 Years,West_Virginia
16,7,All Ages,Black or African American alone,3 Years to < 5 Years,West_Virginia
17,5,All Ages,Black or African American alone,5 or More Years,West_Virginia
18,3,All Ages,Hispanic or Latino,All Time,West_Virginia
19,0,All Ages,Hispanic or Latino,< 30 Days,West_Virginia
20,1,All Ages,Hispanic or Latino,30 to < 90 Days,West_Virginia
21,0,All Ages,Hispanic or Latino,90 Days to < 6 Months,West_Virginia
22,0,All Ages,Hispanic or Latino,6 Months to < 1 Year,West_Virginia
23,1,All Ages,Hispanic or Latino,1 Year to < 2 Years,West_Virginia
24,1,All Ages,Hispanic or Latino,2 Years to < 3 Years,West_Virginia
25,0,All Ages,Hispanic or Latino,3 Years to < 5 Years,West_Virginia
26,0,All Ages,Hispanic or Latino,5 or More Years,West_Virginia
27,3,All Ages,Asian alone,All Time,West_Virginia
28,0,All Ages,Asian alone,< 30 Days,West_Virginia
29,0,All Ages,Asian alone,30 to < 90 Days,West_Virginia
30,0,All Ages,Asian alone,90 Days to < 6 Months,West_Virginia
31,0,All Ages,Asian alone,6 Months to < 1 Year,West_Virginia
32,2,All Ages,Asian alone,1 Year to < 2 Years,West_Virginia
33,1,All Ages,Asian alone,2 Years to < 3 Years,West_Virginia
34,0,All Ages,Asian alone,3 Years to < 5 Years,West_Virginia
35,0,All Ages,Asian alone,5 or More Years,West_Virginia
36,0,All Ages,American Indian and Alaska Native alone,All Time,West_Virginia
37,0,All Ages,American Indian and Alaska Native alone,< 30 Days,West_Virginia
38,0,All Ages,American Indian and Alaska Native alone,30 to < 90 Days,West_Virginia
39,0,All Ages,American Indian and Alaska Native alone,90 Days to < 6 Months,West_Virginia
40,0,All Ages,American Indian and Alaska Native alone,6 Months to < 1 Year,West_Virginia
41,0,All Ages,American Indian and Alaska Native alone,1 Year to < 2 Years,West_Virginia
42,0,All Ages,American Indian and Alaska Native alone,2 Years to < 3 Years,West_Virginia
43,0,All Ages,American Indian and Alaska Native alone,3 Years to < 5 Years,West_Virginia
44,0,All Ages,American Indian and Alaska Native alone,5 or More Years,West_Virginia
45,0,All Ages,Native Hawaiian and Other Pacific Islander alone,All Time,West_Virginia
46,0,All Ages,Native Hawaiian and Other Pacific Islander alone,< 30 Days,West_Virginia
47,0,All Ages,Native Hawaiian and Other Pacific Islander alone,30 to < 90 Days,West_Virginia
48,0,All Ages,Native Hawaiian and Other Pacific Islander alone,90 Days to < 6 Months,West_Virginia
49,0,All Ages,Native Hawaiian and Other Pacific Islander alone,6 Months to < 1 Year,West_Virginia
50,0,All Ages,Native Hawaiian and Other Pacific Islander alone,1 Year to < 2 Years,West_Virginia
51,0,All Ages,Native Hawaiian and Other Pacific Islander alone,2 Years to < 3 Years,West_Virginia
52,0,All Ages,Native Hawaiian and Other Pacific Islander alone,3 Years to < 5 Years,West_Virginia
53,0,All Ages,Native Hawaiian and Other Pacific Islander alone,5 or More Years,West_Virginia
54,2,All Ages,Population of two or more races:,All Time,West_Virginia
55,0,All Ages,Population of two or more races:,< 30 Days,West_Virginia
56,0,All Ages,Population of two or more races:,30 to < 90 Days,West_Virginia
57,0,All Ages,Population of two or more races:,90 Days to < 6 Months,West_Virginia
58,0,All Ages,Population of two or more races:,6 Months to < 1 Year,West_Virginia
59,2,All Ages,Population of two or more races:,1 Year to < 2 Years,West_Virginia
60,0,All Ages,Population of two or more races:,2 Years to < 3 Years,West_Virginia
61,0,All Ages,Population of two or more races:,3 Years to < 5 Years,West_Virginia
62,0,All Ages,Population of two or more races:,5 or More Years,West_Virginia
63,6,0-5 Years,White alone,All Time,West_Virginia
64,1,0-5 Years,White alone,< 30 Days,West_Virginia
65,3,0-5 Years,White alone,30 to < 90 Days,West_Virginia
66,2,0-5 Years,White alone,90 Days to < 6 Months,West_Virginia
67,0,0-5 Years,White alone,6 Months to < 1 Year,West_Virginia
68,0,0-5 Years,White alone,1 Year to < 2 Years,West_Virginia
69,0,0-5 Years,White alone,2 Years to < 3 Years,West_Virginia
70,0,0-5 Years,White alone,3 Years to < 5 Years,West_Virginia
71,0,0-5 Years,White alone,5 or More Years,West_Virginia
72,0,0-5 Years,Black or African American alone,All Time,West_Virginia
73,0,0-5 Years,Black or African American alone,< 30 Days,West_Virginia
74,0,0-5 Years,Black or African American alone,30 to < 90 Days,West_Virginia
75,0,0-5 Years,Black or African American alone,90 Days to < 6 Months,West_Virginia
76,0,0-5 Years,Black or African American alone,6 Months to < 1 Year,West_Virginia
77,0,0-5 Years,Black or African American alone,1 Year to < 2 Years,West_Virginia
78,0,0-5 Years,Black or African American alone,2 Years to < 3 Years,West_Virginia
79,0,0-5 Years,Black or African American alone,3 Years to < 5 Years,West_Virginia
80,0,0-5 Years,Hispanic or Latino,All Time,West_Virginia
81,0,0-5 Years,Hispanic or Latino,< 30 Days,West_Virginia
82,0,0-5 Years,Hispanic or Latino,30 to < 90 Days,West_Virginia
83,0,0-5 Years,Hispanic or Latino,90 Days to < 6 Months,West_Virginia
84,0,0-5 Years,Hispanic or Latino,6 Months to < 1 Year,West_Virginia
85,0,0-5 Years,Hispanic or Latino,1 Year to < 2 Years,West_Virginia
86,0,0-5 Years,Hispanic or Latino,2 Years to < 3 Years,West_Virginia
87,0,0-5 Years,Hispanic or Latino,3 Years to < 5 Years,West_Virginia
88,0,0-5 Years,Hispanic or Latino,5 or More Years,West_Virginia
89,0,0-5 Years,Asian alone,All Time,West_Virginia
90,0,0-5 Years,Asian alone,< 30 Days,West_Virginia
91,0,0-5 Years,Asian alone,30 to < 90 Days,West_Virginia
92,0,0-5 Years,Asian alone,90 Days to < 6 Months,West_Virginia
93,0,0-5 Years,Asian alone,6 Months to < 1 Year,West_Virginia
94,0,0-5 Years,Asian alone,1 Year to < 2 Years,West_Virginia
95,0,0-5 Years,Asian alone,2 Years to < 3 Years,West_Virginia
96,0,0-5 Years,Asian alone,3 Years to < 5 Years,West_Virginia
97,0,0-5 Years,American Indian and Alaska Native alone,All Time,West_Virginia
98,0,0-5 Years,American Indian and Alaska Native alone,< 30 Days,West_Virginia
99,0,0-5 Years,American Indian and Alaska Native alone,30 to < 90 Days,West_Virginia
100,0,0-5 Years,American Indian and Alaska Native alone,90 Days to < 6 Months,West_Virginia
101,0,0-5 Years,American Indian and Alaska Native alone,6 Months to < 1 Year,West_Virginia
102,0,0-5 Years,American Indian and Alaska Native alone,1 Year to < 2 Years,West_Virginia
103,0,0-5 Years,Native Hawaiian and Other Pacific Islander alone,All Time,West_Virginia
104,0,0-5 Years,Native Hawaiian and Other Pacific Islander alone,6 Months to < 1 Year,West_Virginia
105,0,0-5 Years,Native Hawaiian and Other Pacific Islander alone,1 Year to < 2 Years,West_Virginia
106,0,0-5 Years,Population of two or more races:,All Time,West_Virginia
107,0,0-5 Years,Population of two or more races:,< 30 Days,West_Virginia
108,0,0-5 Years,Population of two or more races:,30 to < 90 Days,West_Virginia
109,0,0-5 Years,Population of two or more races:,90 Days to < 6 Months,West_Virginia
110,0,0-5 Years,Population of two or more races:,6 Months to < 1 Year,West_Virginia
111,0,0-5 Years,Population of two or more races:,1 Year to < 2 Years,West_Virginia
112,0,0-5 Years,Population of two or more races:,2 Years to < 3 Years,West_Virginia
113,0,6-10 Years,White alone,All Time,West_Virginia
114,0,6-10 Years,White alone,< 30 Days,West_Virginia
115,0,6-10 Years,White alone,30 to < 90 Days,West_Virginia
116,0,6-10 Years,White alone,90 Days to < 6 Months,West_Virginia
117,0,6-10 Years,White alone,6 Months to < 1 Year,West_Virginia
118,0,6-10 Years,White alone,1 Year to < 2 Years,West_Virginia
119,0,6-10 Years,White alone,2 Years to < 3 Years,West_Virginia
120,0,6-10 Years,White alone,3 Years to < 5 Years,West_Virginia
121,0,6-10 Years,White alone,5 or More Years,West_Virginia
122,0,6-10 Years,Black or African American alone,All Time,West_Virginia
123,0,6-10 Years,Black or African American alone,< 30 Days,West_Virginia
124,0,6-10 Years,Black or African American alone,30 to < 90 Days,West_Virginia
125,0,6-10 Years,Black or African American alone,90 Days to < 6 Months,West_Virginia
126,0,6-10 Years,Black or African American alone,6 Months to < 1 Year,West_Virginia
127,0,6-10 Years,Black or African American alone,1 Year to < 2 Years,West_Virginia
128,0,6-10 Years,Black or African American alone,2 Years to < 3 Years,West_Virginia
129,0,6-10 Years,Black or African American alone,3 Years to < 5 Years,West_Virginia
130,0,6-10 Years,Black or African American alone,5 or More Years,West_Virginia
131,0,6-10 Years,Hispanic or Latino,All Time,West_Virginia
132,0,6-10 Years,Hispanic or Latino,< 30 Days,West_Virginia
133,0,6-10 Years,Hispanic or Latino,30 to < 90 Days,West_Virginia
134,0,6-10 Years,Hispanic or Latino,90 Days to < 6 Months,West_Virginia
135,0,6-10 Years,Hispanic or Latino,6 Months to < 1 Year,West_Virginia
136,0,6-10 Years,Hispanic or Latino,1 Year to < 2 Years,West_Virginia
137,0,6-10 Years,Hispanic or Latino,2 Years to < 3 Years,West_Virginia
138,0,6-10 Years,Hispanic or Latino,3 Years to < 5 Years,West_Virginia
139,0,6-10 Years,Hispanic or Latino,5 or More Years,West_Virginia
140,0,6-10 Years,Asian alone,All Time,West_Virginia
141,0,6-10 Years,Asian alone,< 30 Days,West_Virginia
142,0,6-10 Years,Asian alone,30 to < 90 Days,West_Virginia
143,0,6-10 Years,Asian alone,6 Months to < 1 Year,West_Virginia
144,0,6-10 Years,Asian alone,1 Year to < 2 Years,West_Virginia
145,0,6-10 Years,Asian alone,2 Years to < 3 Years,West_Virginia
146,0,6-10 Years,Asian alone,3 Years to < 5 Years,West_Virginia
147,0,6-10 Years,Asian alone,5 or More Years,West_Virginia
148,0,6-10 Years,American Indian and Alaska Native alone,All Time,West_Virginia
149,0,6-10 Years,American Indian and Alaska Native alone,1 Year to < 2 Years,West_Virginia
150,0,6-10 Years,American Indian and Alaska Native alone,3 Years to < 5 Years,West_Virginia
151,0,6-10 Years,Native Hawaiian and Other Pacific Islander alone,All Time,West_Virginia
152,0,6-10 Years,Native Hawaiian and Other Pacific Islander alone,6 Months to < 1 Year,West_Virginia
153,0,6-10 Years,Native Hawaiian and Other Pacific Islander alone,1 Year to < 2 Years,West_Virginia
154,0,6-10 Years,Native Hawaiian and Other Pacific Islander alone,3 Years to < 5 Years,West_Virginia
155,0,6-10 Years,Population of two or more races:,All Time,West_Virginia
156,0,6-10 Years,Population of two or more races:,< 30 Days,West_Virginia
157,0,6-10 Years,Population of two or more races:,90 Days to < 6 Months,West_Virginia
158,0,6-10 Years,Population of two or more races:,6 Months to < 1 Year,West_Virginia
159,0,6-10 Years,Population of two or more races:,1 Year to < 2 Years,West_Virginia
160,0,6-10 Years,Population of two or more races:,2 Years to < 3 Years,West_Virginia
161,0,6-10 Years,Population of two or more races:,3 Years to < 5 Years,West_Virginia
162,0,6-10 Years,Population of two or more races:,5 or More Years,West_Virginia
163,6,11-17 Years,White alone,All Time,West_Virginia
164,0,11-17 Years,White alone,< 30 Days,West_Virginia
165,0,11-17 Years,White alone,30 to < 90 Days,West_Virginia
166,5,11-17 Years,White alone,90 Days to < 6 Months,West_Virginia
167,0,11-17 Years,White alone,6 Months to < 1 Year,West_Virginia
168,0,11-17 Years,White alone,1 Year to < 2 Years,West_Virginia
169,1,11-17 Years,White alone,2 Years to < 3 Years,West_Virginia
