,People,Age,Ethnicities,Wait Time,State
0,512,All Ages,White alone,All Time,Iowa
1,28,All Ages,White alone,< 30 Days,Iowa
2,72,All Ages,White alone,30 to < 90 Days,Iowa
3,65,All Ages,White alone,90 Days to < 6 Months,Iowa
4,92,All Ages,White alone,6 Months to < 1 Year,Iowa
5,123,All Ages,White alone,1 Year to < 2 Years,Iowa
6,52,All Ages,White alone,2 Years to < 3 Years,Iowa
7,52,All Ages,White alone,3 Years to < 5 Years,Iowa
8,28,All Ages,White alone,5 or More Years,Iowa
9,72,All Ages,Black or African American alone,All Time,Iowa
10,7,All Ages,Black or African American alone,< 30 Days,Iowa
11,7,All Ages,Black or African American alone,30 to < 90 Days,Iowa
12,12,All Ages,Black or African American alone,90 Days to < 6 Months,Iowa
13,11,All Ages,Black or African American alone,6 Months to < 1 Year,Iowa
14,17,All Ages,Black or African American alone,1 Year to < 2 Years,Iowa
15,8,All Ages,Black or African American alone,2 Years to < 3 Years,Iowa
16,8,All Ages,Black or African American alone,3 Years to < 5 Years,Iowa
17,2,All Ages,Black or African American alone,5 or More Years,Iowa
18,51,All Ages,Hispanic or Latino,All Time,Iowa
19,1,All Ages,Hispanic or Latino,< 30 Days,Iowa
20,7,All Ages,Hispanic or Latino,30 to < 90 Days,Iowa
21,10,All Ages,Hispanic or Latino,90 Days to < 6 Months,Iowa
22,5,All Ages,Hispanic or Latino,6 Months to < 1 Year,Iowa
23,11,All Ages,Hispanic or Latino,1 Year to < 2 Years,Iowa
24,9,All Ages,Hispanic or Latino,2 Years to < 3 Years,Iowa
25,4,All Ages,Hispanic or Latino,3 Years to < 5 Years,Iowa
26,4,All Ages,Hispanic or Latino,5 or More Years,Iowa
27,18,All Ages,Asian alone,All Time,Iowa
28,1,All Ages,Asian alone,< 30 Days,Iowa
29,4,All Ages,Asian alone,30 to < 90 Days,Iowa
30,4,All Ages,Asian alone,90 Days to < 6 Months,Iowa
31,3,All Ages,Asian alone,6 Months to < 1 Year,Iowa
32,2,All Ages,Asian alone,1 Year to < 2 Years,Iowa
33,3,All Ages,Asian alone,2 Years to < 3 Years,Iowa
34,1,All Ages,Asian alone,3 Years to < 5 Years,Iowa
35,0,All Ages,Asian alone,5 or More Years,Iowa
36,8,All Ages,American Indian and Alaska Native alone,All Time,Iowa
37,0,All Ages,American Indian and Alaska Native alone,< 30 Days,Iowa
38,2,All Ages,American Indian and Alaska Native alone,30 to < 90 Days,Iowa
39,1,All Ages,American Indian and Alaska Native alone,90 Days to < 6 Months,Iowa
40,1,All Ages,American Indian and Alaska Native alone,6 Months to < 1 Year,Iowa
41,2,All Ages,American Indian and Alaska Native alone,1 Year to < 2 Years,Iowa
42,1,All Ages,American Indian and Alaska Native alone,2 Years to < 3 Years,Iowa
43,1,All Ages,American Indian and Alaska Native alone,3 Years to < 5 Years,Iowa
44,0,All Ages,American Indian and Alaska Native alone,5 or More Years,Iowa
45,5,All Ages,Native Hawaiian and Other Pacific Islander alone,All Time,Iowa
46,1,All Ages,Native Hawaiian and Other Pacific Islander alone,< 30 Days,Iowa
47,1,All Ages,Native Hawaiian and Other Pacific Islander alone,30 to < 90 Days,Iowa
48,1,All Ages,Native Hawaiian and Other Pacific Islander alone,90 Days to < 6 Months,Iowa
49,1,All Ages,Native Hawaiian and Other Pacific Islander alone,6 Months to < 1 Year,Iowa
50,0,All Ages,Native Hawaiian and Other Pacific Islander alone,1 Year to < 2 Years,Iowa
51,1,All Ages,Native Hawaiian and Other Pacific Islander alone,2 Years to < 3 Years,Iowa
52,0,All Ages,Native Hawaiian and Other Pacific Islander alone,3 Years to < 5 Years,Iowa
53,0,All Ages,Native Hawaiian and Other Pacific Islander alone,5 or More Years,Iowa
54,4,All Ages,Population of two or more races:,All Time,Iowa
55,0,All Ages,Population of two or more races:,< 30 Days,Iowa
56,2,All Ages,Population of two or more races:,30 to < 90 Days,Iowa
57,2,All Ages,Population of two or more races:,90 Days to < 6 Months,Iowa
58,0,All Ages,Population of two or more races:,6 Months to < 1 Year,Iowa
59,0,All Ages,Population of two or more races:,1 Year to < 2 Years,Iowa
60,0,All Ages,Population of two or more races:,2 Years to < 3 Years,Iowa
61,0,All Ages,Population of two or more races:,3 Years to < 5 Years,Iowa
62,0,All Ages,Population of two or more races:,5 or More Years,Iowa
63,0,0-5 Years,White alone,All Time,Iowa
64,0,0-5 Years,White alone,< 30 Days,Iowa
65,0,0-5 Years,White alone,30 to < 90 Days,Iowa
66,0,0-5 Years,White alone,90 Days to < 6 Months,Iowa
67,0,0-5 Years,White alone,6 Months to < 1 Year,Iowa
68,0,0-5 Years,White alone,1 Year to < 2 Years,Iowa
69,0,0-5 Years,White alone,2 Years to < 3 Years,Iowa
70,0,0-5 Years,White alone,3 Years to < 5 Years,Iowa
71,0,0-5 Years,White alone,5 or More Years,Iowa
72,0,0-5 Years,Black or African American alone,All Time,Iowa
73,0,0-5 Years,Black or African American alone,< 30 Days,Iowa
74,0,0-5 Years,Black or African American alone,30 to < 90 Days,Iowa
75,0,0-5 Years,Black or African American alone,90 Days to < 6 Months,Iowa
76,0,0-5 Years,Black or African American alone,6 Months to < 1 Year,Iowa
77,0,0-5 Years,Black or African American alone,1 Year to < 2 Years,Iowa
78,0,0-5 Years,Black or African American alone,2 Years to < 3 Years,Iowa
79,0,0-5 Years,Black or African American alone,3 Years to < 5 Years,Iowa
80,0,0-5 Years,Hispanic or Latino,All Time,Iowa
81,0,0-5 Years,Hispanic or Latino,< 30 Days,Iowa
82,0,0-5 Years,Hispanic or Latino,30 to < 90 Days,Iowa
83,0,0-5 Years,Hispanic or Latino,90 Days to < 6 Months,Iowa
84,0,0-5 Years,Hispanic or Latino,6 Months to < 1 Year,Iowa
85,0,0-5 Years,Hispanic or Latino,1 Year to < 2 Years,Iowa
86,0,0-5 Years,Hispanic or Latino,2 Years to < 3 Years,Iowa
87,0,0-5 Years,Hispanic or Latino,3 Years to < 5 Years,Iowa
88,0,0-5 Years,Hispanic or Latino,5 or More Years,Iowa
89,1,0-5 Years,Asian alone,All Time,Iowa
90,0,0-5 Years,Asian alone,< 30 Days,Iowa
91,0,0-5 Years,Asian alone,30 to < 90 Days,Iowa
92,0,0-5 Years,Asian alone,90 Days to < 6 Months,Iowa
93,1,0-5 Years,Asian alone,6 Months to < 1 Year,Iowa
94,0,0-5 Years,Asian alone,1 Year to < 2 Years,Iowa
95,0,0-5 Years,Asian alone,2 Years to < 3 Years,Iowa
96,0,0-5 Years,Asian alone,3 Years to < 5 Years,Iowa
97,0,0-5 Years,American Indian and Alaska Native alone,All Time,Iowa
98,0,0-5 Years,American Indian and Alaska Native alone,< 30 Days,Iowa
99,0,0-5 Years,American Indian and Alaska Native alone,30 to < 90 Days,Iowa
100,0,0-5 Years,American Indian and Alaska Native alone,90 Days to < 6 Months,Iowa
101,0,0-5 Years,American Indian and Alaska Native alone,6 Months to < 1 Year,Iowa
102,0,0-5 Years,American Indian and Alaska Native alone,1 Year to < 2 Years,Iowa
103,0,0-5 Years,Native Hawaiian and Other Pacific Islander alone,All Time,Iowa
104,0,0-5 Years,Native Hawaiian and Other Pacific Islander alone,6 Months to < 1 Year,Iowa
105,0,0-5 Years,Native Hawaiian and Other Pacific Islander alone,1 Year to < 2 Years,Iowa
106,0,0-5 Years,Population of two or more races:,All Time,Iowa
107,0,0-5 Years,Population of two or more races:,< 30 Days,Iowa
108,0,0-5 Years,Population of two or more races:,30 to < 90 Days,Iowa
109,0,0-5 Years,Population of two or more races:,90 Days to < 6 Months,Iowa
110,0,0-5 Years,Population of two or more races:,6 Months to < 1 Year,Iowa
111,0,0-5 Years,Population of two or more races:,1 Year to < 2 Years,Iowa
112,0,0-5 Years,Population of two or more races:,2 Years to < 3 Years,Iowa
113,2,6-10 Years,White alone,All Time,Iowa
114,0,6-10 Years,White alone,< 30 Days,Iowa
115,1,6-10 Years,White alone,30 to < 90 Days,Iowa
116,1,6-10 Years,White alone,90 Days to < 6 Months,Iowa
117,0,6-10 Years,White alone,6 Months to < 1 Year,Iowa
118,0,6-10 Years,White alone,1 Year to < 2 Years,Iowa
119,0,6-10 Years,White alone,2 Years to < 3 Years,Iowa
120,0,6-10 Years,White alone,3 Years to < 5 Years,Iowa
121,0,6-10 Years,White alone,5 or More Years,Iowa
122,1,6-10 Years,Black or African American alone,All Time,Iowa
123,0,6-10 Years,Black or African American alone,< 30 Days,Iowa
124,0,6-10 Years,Black or African American alone,30 to < 90 Days,Iowa
125,0,6-10 Years,Black or African American alone,90 Days to < 6 Months,Iowa
126,0,6-10 Years,Black or African American alone,6 Months to < 1 Year,Iowa
127,1,6-10 Years,Black or African American alone,1 Year to < 2 Years,Iowa
128,0,6-10 Years,Black or African American alone,2 Years to < 3 Years,Iowa
129,0,6-10 Years,Black or African American alone,3 Years to < 5 Years,Iowa
130,0,6-10 Years,Black or African American alone,5 or More Years,Iowa
131,0,6-10 Years,Hispanic or Latino,All Time,Iowa
132,0,6-10 Years,Hispanic or Latino,< 30 Days,Iowa
133,0,6-10 Years,Hispanic or Latino,30 to < 90 Days,Iowa
134,0,6-10 Years,Hispanic or Latino,90 Days to < 6 Months,Iowa
135,0,6-10 Years,Hispanic or Latino,6 Months to < 1 Year,Iowa
136,0,6-10 Years,Hispanic or Latino,1 Year to < 2 Years,Iowa
137,0,6-10 Years,Hispanic or Latino,2 Years to < 3 Years,Iowa
138,0,6-10 Years,Hispanic or Latino,3 Years to < 5 Years,Iowa
139,0,6-10 Years,Hispanic or Latino,5 or More Years,Iowa
140,0,6-10 Years,Asian alone,All Time,Iowa
141,0,6-10 Years,Asian alone,< 30 Days,Iowa
142,0,6-10 Years,Asian alone,30 to < 90 Days,Iowa
143,0,6-10 Years,Asian alone,6 Months to < 1 Year,Iowa
144,0,6-10 Years,Asian alone,1 Year to < 2 Years,Iowa
145,0,6-10 Years,Asian alone,2 Years to < 3 Years,Iowa
146,0,6-10 Years,Asian alone,3 Years to < 5 Years,Iowa
147,0,6-10 Years,Asian alone,5 or More Years,Iowa
148,0,6-10 Years,American Indian and Alaska Native alone,All Time,Iowa
149,0,6-10 Years,American Indian and Alaska Native alone,1 Year to < 2 Years,Iowa
150,0,6-10 Years,American Indian and Alaska Native alone,3 Years to < 5 Years,Iowa
151,0,6-10 Years,Native Hawaiian and Other Pacific Islander alone,All Time,Iowa
152,0,6-10 Years,Native Hawaiian and Other Pacific Islander alone,6 Months to < 1 Year,Iowa
153,0,6-10 Years,Native Hawaiian and Other Pacific Islander alone,1 Year to < 2 Years,Iowa
154,0,6-10 Years,Native Hawaiian and Other Pacific Islander alone,3 Years to < 5 Years,Iowa
155,1,6-10 Years,Population of two or more races:,All Time,Iowa
156,0,6-10 Years,Population of two or more races:,< 30 Days,Iowa
157,1,6-10 Years,Population of two or more races:,90 Days to < 6 Months,Iowa
158,0,6-10 Years,Population of two or more races:,6 Months to < 1 Year,Iowa
159,0,6-10 Years,Population of two or more races:,1 Year to < 2 Years,Iowa
160,0,6-10 Years,Population of two or more races:,2 Years to < 3 Years,Iowa
161,0,6-10 Years,Population of two or more races:,3 Years to < 5 Years,Iowa
162,0,6-10 Years,Population of two or more races:,5 or More Years,Iowa
163,1,11-17 Years,White alone,All Time,Iowa
164,0,11-17 Years,White alone,< 30 Days,Iowa
165,0,11-17 Years,White alone,30 to < 90 Days,Iowa
166,1,11-17 Years,White alone,90 Days to < 6 Months,Iowa
167,0,11-17 Years,White alone,6 Months to < 1 Year,Iowa
168,0,11-17 Years,White alone,1 Year to < 2 Years,Iowa
169,0,11-17 Years,White alone,2 Years to < 3 Years,Iowa
